id;last;name;nameKo
0000;007F;Basic Latin;기본 라틴 문자
0080;00FF;Latin-1 Supplement;라틴-1 보충
0100;017F;Latin Extended-A;라틴 문자 확장-A
0180;024F;Latin Extended-B;라틴 문자 확장-B
0250;02AF;IPA Extensions;IPA 확장
02B0;02FF;Spacing Modifier Letters;
0300;036F;Combining Diacritical Marks;
0370;03FF;Greek and Coptic;그리스 문자 및 콥트 문자
0400;04FF;Cyrillic;키릴 문자
0500;052F;Cyrillic Supplement;키릴 문자 보충
0530;058F;Armenian;아르메니아 문자
0590;05FF;Hebrew;히브리 문자
0600;06FF;Arabic;아랍 문자
0700;074F;Syriac;시리아 문자
0750;077F;Arabic Supplement;아랍 문자 보충
0780;07BF;Thaana;타나
07C0;07FF;NKo;응코 문자
0800;083F;Samaritan;사마리아 문자
0840;085F;Mandaic;만다야 문자
0860;086F;Syriac Supplement;시리아 문자 보충
0870;089F;Arabic Extended-B;아랍 문자 확장-A
08A0;08FF;Arabic Extended-A;아랍 문자 확장-B
0900;097F;Devanagari;데바나가리
0980;09FF;Bengali;벵골 문자
0A00;0A7F;Gurmukhi;구르무키
0A80;0AFF;Gujarati;구자라트 문자
0B00;0B7F;Oriya;오리야 문자
0B80;0BFF;Tamil;타밀 문자
0C00;0C7F;Telugu;텔루구 문자
0C80;0CFF;Kannada;칸나다 문자
0D00;0D7F;Malayalam;말라얄람 문자
0D80;0DFF;Sinhala;싱할라 문자
0E00;0E7F;Thai;타이 문자
0E80;0EFF;Lao;라오 문자
0F00;0FFF;Tibetan;티베트 문자
1000;109F;Myanmar;미얀마 문자
10A0;10FF;Georgian;조지아 문자
1100;11FF;Hangul Jamo;한글 자모
1200;137F;Ethiopic;그으즈 문자
1380;139F;Ethiopic Supplement;그으즈 문자 보충
13A0;13FF;Cherokee;체로키 문자
1400;167F;Unified Canadian Aboriginal Syllabics;
1680;169F;Ogham;오검
16A0;16FF;Runic;룬 문자
1700;171F;Tagalog;바이바이인
1720;173F;Hanunoo;하누누 문자
1740;175F;Buhid;부히드 문자
1760;177F;Tagbanwa;타그반와 문자
1780;17FF;Khmer;크메르 문자
1800;18AF;Mongolian;몽골 문자
18B0;18FF;Unified Canadian Aboriginal Syllabics Extended;
1900;194F;Limbu;림부 문자
1950;197F;Tai Le;타이느아 문자
1980;19DF;New Tai Lue;타이르 문자
19E0;19FF;Khmer Symbols;크메르 문자 기호
1A00;1A1F;Buginese;론타라 문자
1A20;1AAF;Tai Tham;타이탐
1AB0;1AFF;Combining Diacritical Marks Extended;
1B00;1B7F;Balinese;발리 문자
1B80;1BBF;Sundanese;순다 문자
1BC0;1BFF;Batak;바탁 문자
1C00;1C4F;Lepcha;렙차 문자
1C50;1C7F;Ol Chiki;
1C80;1C8F;Cyrillic Extended-C;키릴 문자 확장-C
1C90;1CBF;Georgian Extended;조지아 문자 확장
1CC0;1CCF;Sundanese Supplement;순다 문자 보충
1CD0;1CFF;Vedic Extensions;베다 문자 확장
1D00;1D7F;Phonetic Extensions;
1D80;1DBF;Phonetic Extensions Supplement;
1DC0;1DFF;Combining Diacritical Marks Supplement;
1E00;1EFF;Latin Extended Additional;라틴 문자 확장 추가
1F00;1FFF;Greek Extended;그리스 문자 확장
2000;206F;General Punctuation;
2070;209F;Superscripts and Subscripts;
20A0;20CF;Currency Symbols;통화 기호
20D0;20FF;Combining Diacritical Marks for Symbols;
2100;214F;Letterlike Symbols;
2150;218F;Number Forms;
2190;21FF;Arrows;화살표
2200;22FF;Mathematical Operators;
2300;23FF;Miscellaneous Technical;
2400;243F;Control Pictures;
2440;245F;Optical Character Recognition;
2460;24FF;Enclosed Alphanumerics;
2500;257F;Box Drawing;
2580;259F;Block Elements;블록 요소
25A0;25FF;Geometric Shapes;기하학적 도형
2600;26FF;Miscellaneous Symbols;
2700;27BF;Dingbats;딩뱃
27C0;27EF;Miscellaneous Mathematical Symbols-A;
27F0;27FF;Supplemental Arrows-A;
2800;28FF;Braille Patterns;점자 무늬
2900;297F;Supplemental Arrows-B;
2980;29FF;Miscellaneous Mathematical Symbols-B;
2A00;2AFF;Supplemental Mathematical Operators;
2B00;2BFF;Miscellaneous Symbols and Arrows;
2C00;2C5F;Glagolitic;
2C60;2C7F;Latin Extended-C;라틴 문자 확장-C
2C80;2CFF;Coptic;콥트 문자
2D00;2D2F;Georgian Supplement;조지아 문자 보충
2D30;2D7F;Tifinagh;
2D80;2DDF;Ethiopic Extended;그으즈 문자 확장
2DE0;2DFF;Cyrillic Extended-A;키릴 문자 확장-A
2E00;2E7F;Supplemental Punctuation;
2E80;2EFF;CJK Radicals Supplement;
2F00;2FDF;Kangxi Radicals;
2FF0;2FFF;Ideographic Description Characters;
