first;last;name;name_ko
0;127;Basic Latin;기본 라틴 문자
128;255;Latin-1 Supplement;라틴-1 보충
256;383;Latin Extended-A;라틴 문자 확장-A
384;591;Latin Extended-B;라틴 문자 확장-B
592;687;IPA Extensions;IPA 확장
688;767;Spacing Modifier Letters;수식 문자
768;879;Combining Diacritical Marks;조합용 분음 부호
880;1023;Greek and Coptic;그리스 문자 및 콥트 문자
1024;1279;Cyrillic;키릴 문자
1280;1327;Cyrillic Supplement;키릴 문자 보충
1328;1423;Armenian;아르메니아 문자
1424;1535;Hebrew;히브리 문자
1536;1791;Arabic;아랍 문자
1792;1871;Syriac;시리아 문자
1872;1919;Arabic Supplement;아랍 문자 보충
1920;1983;Thaana;타나
1984;2047;NKo;응코 문자
2048;2111;Samaritan;사마리아 문자
2112;2143;Mandaic;만다야 문자
2144;2159;Syriac Supplement;시리아 문자 보충
2160;2207;Arabic Extended-B;아랍 문자 확장-A
2208;2303;Arabic Extended-A;아랍 문자 확장-B
2304;2431;Devanagari;데바나가리
2432;2559;Bengali;벵골 문자
2560;2687;Gurmukhi;구르무키
2688;2815;Gujarati;구자라트 문자
2816;2943;Oriya;오리야 문자
2944;3071;Tamil;타밀 문자
3072;3199;Telugu;텔루구 문자
3200;3327;Kannada;칸나다 문자
3328;3455;Malayalam;말라얄람 문자
3456;3583;Sinhala;싱할라 문자
3584;3711;Thai;타이 문자
3712;3839;Lao;라오 문자
3840;4095;Tibetan;티베트 문자
4096;4255;Myanmar;미얀마 문자
4256;4351;Georgian;조지아 문자
4352;4607;Hangul Jamo;한글 자모
4608;4991;Ethiopic;그으즈 문자
4992;5023;Ethiopic Supplement;그으즈 문자 보충
5024;5119;Cherokee;체로키 문자
5120;5759;Unified Canadian Aboriginal Syllabics;통합 캐나다 원주민 음절 문자
5760;5791;Ogham;오검
5792;5887;Runic;룬 문자
5888;5919;Tagalog;바이바이인
5920;5951;Hanunoo;하누누 문자
5952;5983;Buhid;부히드 문자
5984;6015;Tagbanwa;타그반와 문자
6016;6143;Khmer;크메르 문자
6144;6319;Mongolian;몽골 문자
6320;6399;Unified Canadian Aboriginal Syllabics Extended;통합 캐나다 원주민 음절 문자 확장
6400;6479;Limbu;림부 문자
6480;6527;Tai Le;타이느아 문자
6528;6623;New Tai Lue;타이르 문자
6624;6655;Khmer Symbols;크메르 문자 기호
6656;6687;Buginese;론타라 문자
6688;6831;Tai Tham;타이탐
6832;6911;Combining Diacritical Marks Extended;조합용 분음 부호 확장
6912;7039;Balinese;발리 문자
7040;7103;Sundanese;순다 문자
7104;7167;Batak;바탁 문자
7168;7247;Lepcha;렙차 문자
7248;7295;Ol Chiki;올치키 문자
7296;7311;Cyrillic Extended-C;키릴 문자 확장-C
7312;7359;Georgian Extended;조지아 문자 확장
7360;7375;Sundanese Supplement;순다 문자 보충
7376;7423;Vedic Extensions;베다 문자 확장
7424;7551;Phonetic Extensions;음성 확장
7552;7615;Phonetic Extensions Supplement;음성 확장 보충
7616;7679;Combining Diacritical Marks Supplement;조합용 분음 부호 보충
7680;7935;Latin Extended Additional;라틴 문자 확장 추가
7936;8191;Greek Extended;그리스 문자 확장
