code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
44032;HANGUL SYLLABLE GA;Lo;0;L;;;;;N;;;;;
44033;HANGUL SYLLABLE GAG;Lo;0;L;;;;;N;;;;;
44034;HANGUL SYLLABLE GAGG;Lo;0;L;;;;;N;;;;;
44035;HANGUL SYLLABLE GAGS;Lo;0;L;;;;;N;;;;;
44036;HANGUL SYLLABLE GAN;Lo;0;L;;;;;N;;;;;
44037;HANGUL SYLLABLE GANJ;Lo;0;L;;;;;N;;;;;
44038;HANGUL SYLLABLE GANH;Lo;0;L;;;;;N;;;;;
44039;HANGUL SYLLABLE GAD;Lo;0;L;;;;;N;;;;;
44040;HANGUL SYLLABLE GAL;Lo;0;L;;;;;N;;;;;
44041;HANGUL SYLLABLE GALG;Lo;0;L;;;;;N;;;;;
44042;HANGUL SYLLABLE GALM;Lo;0;L;;;;;N;;;;;
44043;HANGUL SYLLABLE GALB;Lo;0;L;;;;;N;;;;;
44044;HANGUL SYLLABLE GALS;Lo;0;L;;;;;N;;;;;
44045;HANGUL SYLLABLE GALT;Lo;0;L;;;;;N;;;;;
44046;HANGUL SYLLABLE GALP;Lo;0;L;;;;;N;;;;;
44047;HANGUL SYLLABLE GALH;Lo;0;L;;;;;N;;;;;
44048;HANGUL SYLLABLE GAM;Lo;0;L;;;;;N;;;;;
44049;HANGUL SYLLABLE GAB;Lo;0;L;;;;;N;;;;;
44050;HANGUL SYLLABLE GABS;Lo;0;L;;;;;N;;;;;
44051;HANGUL SYLLABLE GAS;Lo;0;L;;;;;N;;;;;
44052;HANGUL SYLLABLE GASS;Lo;0;L;;;;;N;;;;;
44053;HANGUL SYLLABLE GANG;Lo;0;L;;;;;N;;;;;
44054;HANGUL SYLLABLE GAJ;Lo;0;L;;;;;N;;;;;
44055;HANGUL SYLLABLE GAC;Lo;0;L;;;;;N;;;;;
44056;HANGUL SYLLABLE GAK;Lo;0;L;;;;;N;;;;;
44057;HANGUL SYLLABLE GAT;Lo;0;L;;;;;N;;;;;
44058;HANGUL SYLLABLE GAP;Lo;0;L;;;;;N;;;;;
44059;HANGUL SYLLABLE GAH;Lo;0;L;;;;;N;;;;;
44060;HANGUL SYLLABLE GAE;Lo;0;L;;;;;N;;;;;
44061;HANGUL SYLLABLE GAEG;Lo;0;L;;;;;N;;;;;
44062;HANGUL SYLLABLE GAEGG;Lo;0;L;;;;;N;;;;;
44063;HANGUL SYLLABLE GAEGS;Lo;0;L;;;;;N;;;;;
44064;HANGUL SYLLABLE GAEN;Lo;0;L;;;;;N;;;;;
44065;HANGUL SYLLABLE GAENJ;Lo;0;L;;;;;N;;;;;
44066;HANGUL SYLLABLE GAENH;Lo;0;L;;;;;N;;;;;
44067;HANGUL SYLLABLE GAED;Lo;0;L;;;;;N;;;;;
44068;HANGUL SYLLABLE GAEL;Lo;0;L;;;;;N;;;;;
44069;HANGUL SYLLABLE GAELG;Lo;0;L;;;;;N;;;;;
44070;HANGUL SYLLABLE GAELM;Lo;0;L;;;;;N;;;;;
44071;HANGUL SYLLABLE GAELB;Lo;0;L;;;;;N;;;;;
44072;HANGUL SYLLABLE GAELS;Lo;0;L;;;;;N;;;;;
44073;HANGUL SYLLABLE GAELT;Lo;0;L;;;;;N;;;;;
44074;HANGUL SYLLABLE GAELP;Lo;0;L;;;;;N;;;;;
44075;HANGUL SYLLABLE GAELH;Lo;0;L;;;;;N;;;;;
44076;HANGUL SYLLABLE GAEM;Lo;0;L;;;;;N;;;;;
44077;HANGUL SYLLABLE GAEB;Lo;0;L;;;;;N;;;;;
44078;HANGUL SYLLABLE GAEBS;Lo;0;L;;;;;N;;;;;
44079;HANGUL SYLLABLE GAES;Lo;0;L;;;;;N;;;;;
44080;HANGUL SYLLABLE GAESS;Lo;0;L;;;;;N;;;;;
44081;HANGUL SYLLABLE GAENG;Lo;0;L;;;;;N;;;;;
44082;HANGUL SYLLABLE GAEJ;Lo;0;L;;;;;N;;;;;
44083;HANGUL SYLLABLE GAEC;Lo;0;L;;;;;N;;;;;
44084;HANGUL SYLLABLE GAEK;Lo;0;L;;;;;N;;;;;
44085;HANGUL SYLLABLE GAET;Lo;0;L;;;;;N;;;;;
44086;HANGUL SYLLABLE GAEP;Lo;0;L;;;;;N;;;;;
44087;HANGUL SYLLABLE GAEH;Lo;0;L;;;;;N;;;;;
44088;HANGUL SYLLABLE GYA;Lo;0;L;;;;;N;;;;;
44089;HANGUL SYLLABLE GYAG;Lo;0;L;;;;;N;;;;;
44090;HANGUL SYLLABLE GYAGG;Lo;0;L;;;;;N;;;;;
44091;HANGUL SYLLABLE GYAGS;Lo;0;L;;;;;N;;;;;
44092;HANGUL SYLLABLE GYAN;Lo;0;L;;;;;N;;;;;
44093;HANGUL SYLLABLE GYANJ;Lo;0;L;;;;;N;;;;;
44094;HANGUL SYLLABLE GYANH;Lo;0;L;;;;;N;;;;;
44095;HANGUL SYLLABLE GYAD;Lo;0;L;;;;;N;;;;;
44096;HANGUL SYLLABLE GYAL;Lo;0;L;;;;;N;;;;;
44097;HANGUL SYLLABLE GYALG;Lo;0;L;;;;;N;;;;;
44098;HANGUL SYLLABLE GYALM;Lo;0;L;;;;;N;;;;;
44099;HANGUL SYLLABLE GYALB;Lo;0;L;;;;;N;;;;;
44100;HANGUL SYLLABLE GYALS;Lo;0;L;;;;;N;;;;;
44101;HANGUL SYLLABLE GYALT;Lo;0;L;;;;;N;;;;;
44102;HANGUL SYLLABLE GYALP;Lo;0;L;;;;;N;;;;;
44103;HANGUL SYLLABLE GYALH;Lo;0;L;;;;;N;;;;;
44104;HANGUL SYLLABLE GYAM;Lo;0;L;;;;;N;;;;;
44105;HANGUL SYLLABLE GYAB;Lo;0;L;;;;;N;;;;;
44106;HANGUL SYLLABLE GYABS;Lo;0;L;;;;;N;;;;;
44107;HANGUL SYLLABLE GYAS;Lo;0;L;;;;;N;;;;;
44108;HANGUL SYLLABLE GYASS;Lo;0;L;;;;;N;;;;;
44109;HANGUL SYLLABLE GYANG;Lo;0;L;;;;;N;;;;;
44110;HANGUL SYLLABLE GYAJ;Lo;0;L;;;;;N;;;;;
44111;HANGUL SYLLABLE GYAC;Lo;0;L;;;;;N;;;;;
44112;HANGUL SYLLABLE GYAK;Lo;0;L;;;;;N;;;;;
44113;HANGUL SYLLABLE GYAT;Lo;0;L;;;;;N;;;;;
44114;HANGUL SYLLABLE GYAP;Lo;0;L;;;;;N;;;;;
44115;HANGUL SYLLABLE GYAH;Lo;0;L;;;;;N;;;;;
44116;HANGUL SYLLABLE GYAE;Lo;0;L;;;;;N;;;;;
44117;HANGUL SYLLABLE GYAEG;Lo;0;L;;;;;N;;;;;
