code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
94208;TANGUT IDEOGRAPH-17000;Lo;0;L;;;;;N;;;;;
94209;TANGUT IDEOGRAPH-17001;Lo;0;L;;;;;N;;;;;
94210;TANGUT IDEOGRAPH-17002;Lo;0;L;;;;;N;;;;;
94211;TANGUT IDEOGRAPH-17003;Lo;0;L;;;;;N;;;;;
94212;TANGUT IDEOGRAPH-17004;Lo;0;L;;;;;N;;;;;
94213;TANGUT IDEOGRAPH-17005;Lo;0;L;;;;;N;;;;;
94214;TANGUT IDEOGRAPH-17006;Lo;0;L;;;;;N;;;;;
94215;TANGUT IDEOGRAPH-17007;Lo;0;L;;;;;N;;;;;
94216;TANGUT IDEOGRAPH-17008;Lo;0;L;;;;;N;;;;;
94217;TANGUT IDEOGRAPH-17009;Lo;0;L;;;;;N;;;;;
94218;TANGUT IDEOGRAPH-1700A;Lo;0;L;;;;;N;;;;;
94219;TANGUT IDEOGRAPH-1700B;Lo;0;L;;;;;N;;;;;
94220;TANGUT IDEOGRAPH-1700C;Lo;0;L;;;;;N;;;;;
94221;TANGUT IDEOGRAPH-1700D;Lo;0;L;;;;;N;;;;;
94222;TANGUT IDEOGRAPH-1700E;Lo;0;L;;;;;N;;;;;
94223;TANGUT IDEOGRAPH-1700F;Lo;0;L;;;;;N;;;;;
94224;TANGUT IDEOGRAPH-17010;Lo;0;L;;;;;N;;;;;
94225;TANGUT IDEOGRAPH-17011;Lo;0;L;;;;;N;;;;;
94226;TANGUT IDEOGRAPH-17012;Lo;0;L;;;;;N;;;;;
94227;TANGUT IDEOGRAPH-17013;Lo;0;L;;;;;N;;;;;
94228;TANGUT IDEOGRAPH-17014;Lo;0;L;;;;;N;;;;;
94229;TANGUT IDEOGRAPH-17015;Lo;0;L;;;;;N;;;;;
94230;TANGUT IDEOGRAPH-17016;Lo;0;L;;;;;N;;;;;
