code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
19968;CJK UNIFIED IDEOGRAPH-4E00;Lo;0;L;;;;;N;;;;;
19969;CJK UNIFIED IDEOGRAPH-4E01;Lo;0;L;;;;;N;;;;;
19970;CJK UNIFIED IDEOGRAPH-4E02;Lo;0;L;;;;;N;;;;;
19971;CJK UNIFIED IDEOGRAPH-4E03;Lo;0;L;;;;;N;;;;;
19972;CJK UNIFIED IDEOGRAPH-4E04;Lo;0;L;;;;;N;;;;;
19973;CJK UNIFIED IDEOGRAPH-4E05;Lo;0;L;;;;;N;;;;;
19974;CJK UNIFIED IDEOGRAPH-4E06;Lo;0;L;;;;;N;;;;;
19975;CJK UNIFIED IDEOGRAPH-4E07;Lo;0;L;;;;;N;;;;;
19976;CJK UNIFIED IDEOGRAPH-4E08;Lo;0;L;;;;;N;;;;;
19977;CJK UNIFIED IDEOGRAPH-4E09;Lo;0;L;;;;;N;;;;;
19978;CJK UNIFIED IDEOGRAPH-4E0A;Lo;0;L;;;;;N;;;;;
19979;CJK UNIFIED IDEOGRAPH-4E0B;Lo;0;L;;;;;N;;;;;
19980;CJK UNIFIED IDEOGRAPH-4E0C;Lo;0;L;;;;;N;;;;;
19981;CJK UNIFIED IDEOGRAPH-4E0D;Lo;0;L;;;;;N;;;;;
19982;CJK UNIFIED IDEOGRAPH-4E0E;Lo;0;L;;;;;N;;;;;
19983;CJK UNIFIED IDEOGRAPH-4E0F;Lo;0;L;;;;;N;;;;;
19984;CJK UNIFIED IDEOGRAPH-4E10;Lo;0;L;;;;;N;;;;;
19985;CJK UNIFIED IDEOGRAPH-4E11;Lo;0;L;;;;;N;;;;;
19986;CJK UNIFIED IDEOGRAPH-4E12;Lo;0;L;;;;;N;;;;;
19987;CJK UNIFIED IDEOGRAPH-4E13;Lo;0;L;;;;;N;;;;;
19988;CJK UNIFIED IDEOGRAPH-4E14;Lo;0;L;;;;;N;;;;;
19989;CJK UNIFIED IDEOGRAPH-4E15;Lo;0;L;;;;;N;;;;;
19990;CJK UNIFIED IDEOGRAPH-4E16;Lo;0;L;;;;;N;;;;;
19991;CJK UNIFIED IDEOGRAPH-4E17;Lo;0;L;;;;;N;;;;;
19992;CJK UNIFIED IDEOGRAPH-4E18;Lo;0;L;;;;;N;;;;;
19993;CJK UNIFIED IDEOGRAPH-4E19;Lo;0;L;;;;;N;;;;;
19994;CJK UNIFIED IDEOGRAPH-4E1A;Lo;0;L;;;;;N;;;;;
19995;CJK UNIFIED IDEOGRAPH-4E1B;Lo;0;L;;;;;N;;;;;
19996;CJK UNIFIED IDEOGRAPH-4E1C;Lo;0;L;;;;;N;;;;;
19997;CJK UNIFIED IDEOGRAPH-4E1D;Lo;0;L;;;;;N;;;;;
19998;CJK UNIFIED IDEOGRAPH-4E1E;Lo;0;L;;;;;N;;;;;
19999;CJK UNIFIED IDEOGRAPH-4E1F;Lo;0;L;;;;;N;;;;;
20000;CJK UNIFIED IDEOGRAPH-4E20;Lo;0;L;;;;;N;;;;;
20001;CJK UNIFIED IDEOGRAPH-4E21;Lo;0;L;;;;;N;;;;;
20002;CJK UNIFIED IDEOGRAPH-4E22;Lo;0;L;;;;;N;;;;;
20003;CJK UNIFIED IDEOGRAPH-4E23;Lo;0;L;;;;;N;;;;;
20004;CJK UNIFIED IDEOGRAPH-4E24;Lo;0;L;;;;;N;;;;;
20005;CJK UNIFIED IDEOGRAPH-4E25;Lo;0;L;;;;;N;;;;;
20006;CJK UNIFIED IDEOGRAPH-4E26;Lo;0;L;;;;;N;;;;;
20007;CJK UNIFIED IDEOGRAPH-4E27;Lo;0;L;;;;;N;;;;;
20008;CJK UNIFIED IDEOGRAPH-4E28;Lo;0;L;;;;;N;;;;;
20009;CJK UNIFIED IDEOGRAPH-4E29;Lo;0;L;;;;;N;;;;;
20010;CJK UNIFIED IDEOGRAPH-4E2A;Lo;0;L;;;;;N;;;;;
20011;CJK UNIFIED IDEOGRAPH-4E2B;Lo;0;L;;;;;N;;;;;
20012;CJK UNIFIED IDEOGRAPH-4E2C;Lo;0;L;;;;;N;;;;;
20013;CJK UNIFIED IDEOGRAPH-4E2D;Lo;0;L;;;;;N;;;;;
20014;CJK UNIFIED IDEOGRAPH-4E2E;Lo;0;L;;;;;N;;;;;
20015;CJK UNIFIED IDEOGRAPH-4E2F;Lo;0;L;;;;;N;;;;;
20016;CJK UNIFIED IDEOGRAPH-4E30;Lo;0;L;;;;;N;;;;;
