code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
13312;CJK UNIFIED IDEOGRAPH-3400;Lo;0;L;;;;;N;;;;;
13313;CJK UNIFIED IDEOGRAPH-3401;Lo;0;L;;;;;N;;;;;
13314;CJK UNIFIED IDEOGRAPH-3402;Lo;0;L;;;;;N;;;;;
13315;CJK UNIFIED IDEOGRAPH-3403;Lo;0;L;;;;;N;;;;;
13316;CJK UNIFIED IDEOGRAPH-3404;Lo;0;L;;;;;N;;;;;
13317;CJK UNIFIED IDEOGRAPH-3405;Lo;0;L;;;;;N;;;;;
13318;CJK UNIFIED IDEOGRAPH-3406;Lo;0;L;;;;;N;;;;;
13319;CJK UNIFIED IDEOGRAPH-3407;Lo;0;L;;;;;N;;;;;
13320;CJK UNIFIED IDEOGRAPH-3408;Lo;0;L;;;;;N;;;;;
13321;CJK UNIFIED IDEOGRAPH-3409;Lo;0;L;;;;;N;;;;;
13322;CJK UNIFIED IDEOGRAPH-340A;Lo;0;L;;;;;N;;;;;
13323;CJK UNIFIED IDEOGRAPH-340B;Lo;0;L;;;;;N;;;;;
13324;CJK UNIFIED IDEOGRAPH-340C;Lo;0;L;;;;;N;;;;;
13325;CJK UNIFIED IDEOGRAPH-340D;Lo;0;L;;;;;N;;;;;
13326;CJK UNIFIED IDEOGRAPH-340E;Lo;0;L;;;;;N;;;;;
13327;CJK UNIFIED IDEOGRAPH-340F;Lo;0;L;;;;;N;;;;;
13328;CJK UNIFIED IDEOGRAPH-3410;Lo;0;L;;;;;N;;;;;
13329;CJK UNIFIED IDEOGRAPH-3411;Lo;0;L;;;;;N;;;;;
13330;CJK UNIFIED IDEOGRAPH-3412;Lo;0;L;;;;;N;;;;;
13331;CJK UNIFIED IDEOGRAPH-3413;Lo;0;L;;;;;N;;;;;
13332;CJK UNIFIED IDEOGRAPH-3414;Lo;0;L;;;;;N;;;;;
13333;CJK UNIFIED IDEOGRAPH-3415;Lo;0;L;;;;;N;;;;;
13334;CJK UNIFIED IDEOGRAPH-3416;Lo;0;L;;;;;N;;;;;
13335;CJK UNIFIED IDEOGRAPH-3417;Lo;0;L;;;;;N;;;;;
13336;CJK UNIFIED IDEOGRAPH-3418;Lo;0;L;;;;;N;;;;;
13337;CJK UNIFIED IDEOGRAPH-3419;Lo;0;L;;;;;N;;;;;
13338;CJK UNIFIED IDEOGRAPH-341A;Lo;0;L;;;;;N;;;;;
13339;CJK UNIFIED IDEOGRAPH-341B;Lo;0;L;;;;;N;;;;;
13340;CJK UNIFIED IDEOGRAPH-341C;Lo;0;L;;;;;N;;;;;
13341;CJK UNIFIED IDEOGRAPH-341D;Lo;0;L;;;;;N;;;;;
13342;CJK UNIFIED IDEOGRAPH-341E;Lo;0;L;;;;;N;;;;;
13343;CJK UNIFIED IDEOGRAPH-341F;Lo;0;L;;;;;N;;;;;
13344;CJK UNIFIED IDEOGRAPH-3420;Lo;0;L;;;;;N;;;;;
13345;CJK UNIFIED IDEOGRAPH-3421;Lo;0;L;;;;;N;;;;;
13346;CJK UNIFIED IDEOGRAPH-3422;Lo;0;L;;;;;N;;;;;
13347;CJK UNIFIED IDEOGRAPH-3423;Lo;0;L;;;;;N;;;;;
13348;CJK UNIFIED IDEOGRAPH-3424;Lo;0;L;;;;;N;;;;;
13349;CJK UNIFIED IDEOGRAPH-3425;Lo;0;L;;;;;N;;;;;
13350;CJK UNIFIED IDEOGRAPH-3426;Lo;0;L;;;;;N;;;;;
13351;CJK UNIFIED IDEOGRAPH-3427;Lo;0;L;;;;;N;;;;;
13352;CJK UNIFIED IDEOGRAPH-3428;Lo;0;L;;;;;N;;;;;
13353;CJK UNIFIED IDEOGRAPH-3429;Lo;0;L;;;;;N;;;;;
13354;CJK UNIFIED IDEOGRAPH-342A;Lo;0;L;;;;;N;;;;;
13355;CJK UNIFIED IDEOGRAPH-342B;Lo;0;L;;;;;N;;;;;
13356;CJK UNIFIED IDEOGRAPH-342C;Lo;0;L;;;;;N;;;;;
13357;CJK UNIFIED IDEOGRAPH-342D;Lo;0;L;;;;;N;;;;;
13358;CJK UNIFIED IDEOGRAPH-342E;Lo;0;L;;;;;N;;;;;
13359;CJK UNIFIED IDEOGRAPH-342F;Lo;0;L;;;;;N;;;;;
13360;CJK UNIFIED IDEOGRAPH-3430;Lo;0;L;;;;;N;;;;;
13361;CJK UNIFIED IDEOGRAPH-3431;Lo;0;L;;;;;N;;;;;
13362;CJK UNIFIED IDEOGRAPH-3432;Lo;0;L;;;;;N;;;;;
13363;CJK UNIFIED IDEOGRAPH-3433;Lo;0;L;;;;;N;;;;;
13364;CJK UNIFIED IDEOGRAPH-3434;Lo;0;L;;;;;N;;;;;
13365;CJK UNIFIED IDEOGRAPH-3435;Lo;0;L;;;;;N;;;;;
13366;CJK UNIFIED IDEOGRAPH-3436;Lo;0;L;;;;;N;;;;;
13367;CJK UNIFIED IDEOGRAPH-3437;Lo;0;L;;;;;N;;;;;
13368;CJK UNIFIED IDEOGRAPH-3438;Lo;0;L;;;;;N;;;;;
13369;CJK UNIFIED IDEOGRAPH-3439;Lo;0;L;;;;;N;;;;;
13370;CJK UNIFIED IDEOGRAPH-343A;Lo;0;L;;;;;N;;;;;
13371;CJK UNIFIED IDEOGRAPH-343B;Lo;0;L;;;;;N;;;;;
13372;CJK UNIFIED IDEOGRAPH-343C;Lo;0;L;;;;;N;;;;;
13373;CJK UNIFIED IDEOGRAPH-343D;Lo;0;L;;;;;N;;;;;
13374;CJK UNIFIED IDEOGRAPH-343E;Lo;0;L;;;;;N;;;;;
13375;CJK UNIFIED IDEOGRAPH-343F;Lo;0;L;;;;;N;;;;;
13376;CJK UNIFIED IDEOGRAPH-3440;Lo;0;L;;;;;N;;;;;
13377;CJK UNIFIED IDEOGRAPH-3441;Lo;0;L;;;;;N;;;;;
13378;CJK UNIFIED IDEOGRAPH-3442;Lo;0;L;;;;;N;;;;;
13379;CJK UNIFIED IDEOGRAPH-3443;Lo;0;L;;;;;N;;;;;
13380;CJK UNIFIED IDEOGRAPH-3444;Lo;0;L;;;;;N;;;;;
13381;CJK UNIFIED IDEOGRAPH-3445;Lo;0;L;;;;;N;;;;;
13382;CJK UNIFIED IDEOGRAPH-3446;Lo;0;L;;;;;N;;;;;
13383;CJK UNIFIED IDEOGRAPH-3447;Lo;0;L;;;;;N;;;;;
13384;CJK UNIFIED IDEOGRAPH-3448;Lo;0;L;;;;;N;;;;;
