code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
131072;CJK UNIFIED IDEOGRAPH-20000;Lo;0;L;;;;;N;;;;;
131073;CJK UNIFIED IDEOGRAPH-20001;Lo;0;L;;;;;N;;;;;
131074;CJK UNIFIED IDEOGRAPH-20002;Lo;0;L;;;;;N;;;;;
131075;CJK UNIFIED IDEOGRAPH-20003;Lo;0;L;;;;;N;;;;;
131076;CJK UNIFIED IDEOGRAPH-20004;Lo;0;L;;;;;N;;;;;
131077;CJK UNIFIED IDEOGRAPH-20005;Lo;0;L;;;;;N;;;;;
131078;CJK UNIFIED IDEOGRAPH-20006;Lo;0;L;;;;;N;;;;;
131079;CJK UNIFIED IDEOGRAPH-20007;Lo;0;L;;;;;N;;;;;
131080;CJK UNIFIED IDEOGRAPH-20008;Lo;0;L;;;;;N;;;;;
131081;CJK UNIFIED IDEOGRAPH-20009;Lo;0;L;;;;;N;;;;;
131082;CJK UNIFIED IDEOGRAPH-2000A;Lo;0;L;;;;;N;;;;;
131083;CJK UNIFIED IDEOGRAPH-2000B;Lo;0;L;;;;;N;;;;;
131084;CJK UNIFIED IDEOGRAPH-2000C;Lo;0;L;;;;;N;;;;;
131085;CJK UNIFIED IDEOGRAPH-2000D;Lo;0;L;;;;;N;;;;;
131086;CJK UNIFIED IDEOGRAPH-2000E;Lo;0;L;;;;;N;;;;;
131087;CJK UNIFIED IDEOGRAPH-2000F;Lo;0;L;;;;;N;;;;;
131088;CJK UNIFIED IDEOGRAPH-20010;Lo;0;L;;;;;N;;;;;
131089;CJK UNIFIED IDEOGRAPH-20011;Lo;0;L;;;;;N;;;;;
131090;CJK UNIFIED IDEOGRAPH-20012;Lo;0;L;;;;;N;;;;;
131091;CJK UNIFIED IDEOGRAPH-20013;Lo;0;L;;;;;N;;;;;
131092;CJK UNIFIED IDEOGRAPH-20014;Lo;0;L;;;;;N;;;;;
131093;CJK UNIFIED IDEOGRAPH-20015;Lo;0;L;;;;;N;;;;;
131094;CJK UNIFIED IDEOGRAPH-20016;Lo;0;L;;;;;N;;;;;
131095;CJK UNIFIED IDEOGRAPH-20017;Lo;0;L;;;;;N;;;;;
131096;CJK UNIFIED IDEOGRAPH-20018;Lo;0;L;;;;;N;;;;;
131097;CJK UNIFIED IDEOGRAPH-20019;Lo;0;L;;;;;N;;;;;
131098;CJK UNIFIED IDEOGRAPH-2001A;Lo;0;L;;;;;N;;;;;
131099;CJK UNIFIED IDEOGRAPH-2001B;Lo;0;L;;;;;N;;;;;
131100;CJK UNIFIED IDEOGRAPH-2001C;Lo;0;L;;;;;N;;;;;
