code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
173824;CJK UNIFIED IDEOGRAPH-2A700;Lo;0;L;;;;;N;;;;;
173825;CJK UNIFIED IDEOGRAPH-2A701;Lo;0;L;;;;;N;;;;;
173826;CJK UNIFIED IDEOGRAPH-2A702;Lo;0;L;;;;;N;;;;;
173827;CJK UNIFIED IDEOGRAPH-2A703;Lo;0;L;;;;;N;;;;;
173828;CJK UNIFIED IDEOGRAPH-2A704;Lo;0;L;;;;;N;;;;;
173829;CJK UNIFIED IDEOGRAPH-2A705;Lo;0;L;;;;;N;;;;;
173830;CJK UNIFIED IDEOGRAPH-2A706;Lo;0;L;;;;;N;;;;;
173831;CJK UNIFIED IDEOGRAPH-2A707;Lo;0;L;;;;;N;;;;;
173832;CJK UNIFIED IDEOGRAPH-2A708;Lo;0;L;;;;;N;;;;;
173833;CJK UNIFIED IDEOGRAPH-2A709;Lo;0;L;;;;;N;;;;;
173834;CJK UNIFIED IDEOGRAPH-2A70A;Lo;0;L;;;;;N;;;;;
173835;CJK UNIFIED IDEOGRAPH-2A70B;Lo;0;L;;;;;N;;;;;
173836;CJK UNIFIED IDEOGRAPH-2A70C;Lo;0;L;;;;;N;;;;;
173837;CJK UNIFIED IDEOGRAPH-2A70D;Lo;0;L;;;;;N;;;;;
173838;CJK UNIFIED IDEOGRAPH-2A70E;Lo;0;L;;;;;N;;;;;
173839;CJK UNIFIED IDEOGRAPH-2A70F;Lo;0;L;;;;;N;;;;;
173840;CJK UNIFIED IDEOGRAPH-2A710;Lo;0;L;;;;;N;;;;;
173841;CJK UNIFIED IDEOGRAPH-2A711;Lo;0;L;;;;;N;;;;;
173842;CJK UNIFIED IDEOGRAPH-2A712;Lo;0;L;;;;;N;;;;;
173843;CJK UNIFIED IDEOGRAPH-2A713;Lo;0;L;;;;;N;;;;;
173844;CJK UNIFIED IDEOGRAPH-2A714;Lo;0;L;;;;;N;;;;;
173845;CJK UNIFIED IDEOGRAPH-2A715;Lo;0;L;;;;;N;;;;;
173846;CJK UNIFIED IDEOGRAPH-2A716;Lo;0;L;;;;;N;;;;;
173847;CJK UNIFIED IDEOGRAPH-2A717;Lo;0;L;;;;;N;;;;;
173848;CJK UNIFIED IDEOGRAPH-2A718;Lo;0;L;;;;;N;;;;;
173849;CJK UNIFIED IDEOGRAPH-2A719;Lo;0;L;;;;;N;;;;;
173850;CJK UNIFIED IDEOGRAPH-2A71A;Lo;0;L;;;;;N;;;;;
173851;CJK UNIFIED IDEOGRAPH-2A71B;Lo;0;L;;;;;N;;;;;
173852;CJK UNIFIED IDEOGRAPH-2A71C;Lo;0;L;;;;;N;;;;;
173853;CJK UNIFIED IDEOGRAPH-2A71D;Lo;0;L;;;;;N;;;;;
173854;CJK UNIFIED IDEOGRAPH-2A71E;Lo;0;L;;;;;N;;;;;
173855;CJK UNIFIED IDEOGRAPH-2A71F;Lo;0;L;;;;;N;;;;;
173856;CJK UNIFIED IDEOGRAPH-2A720;Lo;0;L;;;;;N;;;;;
173857;CJK UNIFIED IDEOGRAPH-2A721;Lo;0;L;;;;;N;;;;;
173858;CJK UNIFIED IDEOGRAPH-2A722;Lo;0;L;;;;;N;;;;;
173859;CJK UNIFIED IDEOGRAPH-2A723;Lo;0;L;;;;;N;;;;;
173860;CJK UNIFIED IDEOGRAPH-2A724;Lo;0;L;;;;;N;;;;;
173861;CJK UNIFIED IDEOGRAPH-2A725;Lo;0;L;;;;;N;;;;;
173862;CJK UNIFIED IDEOGRAPH-2A726;Lo;0;L;;;;;N;;;;;
173863;CJK UNIFIED IDEOGRAPH-2A727;Lo;0;L;;;;;N;;;;;
173864;CJK UNIFIED IDEOGRAPH-2A728;Lo;0;L;;;;;N;;;;;
173865;CJK UNIFIED IDEOGRAPH-2A729;Lo;0;L;;;;;N;;;;;
173866;CJK UNIFIED IDEOGRAPH-2A72A;Lo;0;L;;;;;N;;;;;
173867;CJK UNIFIED IDEOGRAPH-2A72B;Lo;0;L;;;;;N;;;;;
173868;CJK UNIFIED IDEOGRAPH-2A72C;Lo;0;L;;;;;N;;;;;
173869;CJK UNIFIED IDEOGRAPH-2A72D;Lo;0;L;;;;;N;;;;;
173870;CJK UNIFIED IDEOGRAPH-2A72E;Lo;0;L;;;;;N;;;;;
173871;CJK UNIFIED IDEOGRAPH-2A72F;Lo;0;L;;;;;N;;;;;
173872;CJK UNIFIED IDEOGRAPH-2A730;Lo;0;L;;;;;N;;;;;
