code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
177984;CJK UNIFIED IDEOGRAPH-2B740;Lo;0;L;;;;;N;;;;;
177985;CJK UNIFIED IDEOGRAPH-2B741;Lo;0;L;;;;;N;;;;;
177986;CJK UNIFIED IDEOGRAPH-2B742;Lo;0;L;;;;;N;;;;;
177987;CJK UNIFIED IDEOGRAPH-2B743;Lo;0;L;;;;;N;;;;;
177988;CJK UNIFIED IDEOGRAPH-2B744;Lo;0;L;;;;;N;;;;;
177989;CJK UNIFIED IDEOGRAPH-2B745;Lo;0;L;;;;;N;;;;;
177990;CJK UNIFIED IDEOGRAPH-2B746;Lo;0;L;;;;;N;;;;;
177991;CJK UNIFIED IDEOGRAPH-2B747;Lo;0;L;;;;;N;;;;;
177992;CJK UNIFIED IDEOGRAPH-2B748;Lo;0;L;;;;;N;;;;;
177993;CJK UNIFIED IDEOGRAPH-2B749;Lo;0;L;;;;;N;;;;;
177994;CJK UNIFIED IDEOGRAPH-2B74A;Lo;0;L;;;;;N;;;;;
177995;CJK UNIFIED IDEOGRAPH-2B74B;Lo;0;L;;;;;N;;;;;
177996;CJK UNIFIED IDEOGRAPH-2B74C;Lo;0;L;;;;;N;;;;;
177997;CJK UNIFIED IDEOGRAPH-2B74D;Lo;0;L;;;;;N;;;;;
177998;CJK UNIFIED IDEOGRAPH-2B74E;Lo;0;L;;;;;N;;;;;
177999;CJK UNIFIED IDEOGRAPH-2B74F;Lo;0;L;;;;;N;;;;;
178000;CJK UNIFIED IDEOGRAPH-2B750;Lo;0;L;;;;;N;;;;;
178001;CJK UNIFIED IDEOGRAPH-2B751;Lo;0;L;;;;;N;;;;;
178002;CJK UNIFIED IDEOGRAPH-2B752;Lo;0;L;;;;;N;;;;;
178003;CJK UNIFIED IDEOGRAPH-2B753;Lo;0;L;;;;;N;;;;;
178004;CJK UNIFIED IDEOGRAPH-2B754;Lo;0;L;;;;;N;;;;;
178005;CJK UNIFIED IDEOGRAPH-2B755;Lo;0;L;;;;;N;;;;;
178006;CJK UNIFIED IDEOGRAPH-2B756;Lo;0;L;;;;;N;;;;;
178007;CJK UNIFIED IDEOGRAPH-2B757;Lo;0;L;;;;;N;;;;;
178008;CJK UNIFIED IDEOGRAPH-2B758;Lo;0;L;;;;;N;;;;;
178009;CJK UNIFIED IDEOGRAPH-2B759;Lo;0;L;;;;;N;;;;;
178010;CJK UNIFIED IDEOGRAPH-2B75A;Lo;0;L;;;;;N;;;;;
178011;CJK UNIFIED IDEOGRAPH-2B75B;Lo;0;L;;;;;N;;;;;
178012;CJK UNIFIED IDEOGRAPH-2B75C;Lo;0;L;;;;;N;;;;;
178013;CJK UNIFIED IDEOGRAPH-2B75D;Lo;0;L;;;;;N;;;;;
178014;CJK UNIFIED IDEOGRAPH-2B75E;Lo;0;L;;;;;N;;;;;
178015;CJK UNIFIED IDEOGRAPH-2B75F;Lo;0;L;;;;;N;;;;;
178016;CJK UNIFIED IDEOGRAPH-2B760;Lo;0;L;;;;;N;;;;;
178017;CJK UNIFIED IDEOGRAPH-2B761;Lo;0;L;;;;;N;;;;;
178018;CJK UNIFIED IDEOGRAPH-2B762;Lo;0;L;;;;;N;;;;;
178019;CJK UNIFIED IDEOGRAPH-2B763;Lo;0;L;;;;;N;;;;;
178020;CJK UNIFIED IDEOGRAPH-2B764;Lo;0;L;;;;;N;;;;;
