code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
178208;CJK UNIFIED IDEOGRAPH-2B820;Lo;0;L;;;;;N;;;;;
178209;CJK UNIFIED IDEOGRAPH-2B821;Lo;0;L;;;;;N;;;;;
178210;CJK UNIFIED IDEOGRAPH-2B822;Lo;0;L;;;;;N;;;;;
178211;CJK UNIFIED IDEOGRAPH-2B823;Lo;0;L;;;;;N;;;;;
178212;CJK UNIFIED IDEOGRAPH-2B824;Lo;0;L;;;;;N;;;;;
178213;CJK UNIFIED IDEOGRAPH-2B825;Lo;0;L;;;;;N;;;;;
178214;CJK UNIFIED IDEOGRAPH-2B826;Lo;0;L;;;;;N;;;;;
178215;CJK UNIFIED IDEOGRAPH-2B827;Lo;0;L;;;;;N;;;;;
178216;CJK UNIFIED IDEOGRAPH-2B828;Lo;0;L;;;;;N;;;;;
178217;CJK UNIFIED IDEOGRAPH-2B829;Lo;0;L;;;;;N;;;;;
178218;CJK UNIFIED IDEOGRAPH-2B82A;Lo;0;L;;;;;N;;;;;
178219;CJK UNIFIED IDEOGRAPH-2B82B;Lo;0;L;;;;;N;;;;;
178220;CJK UNIFIED IDEOGRAPH-2B82C;Lo;0;L;;;;;N;;;;;
178221;CJK UNIFIED IDEOGRAPH-2B82D;Lo;0;L;;;;;N;;;;;
178222;CJK UNIFIED IDEOGRAPH-2B82E;Lo;0;L;;;;;N;;;;;
178223;CJK UNIFIED IDEOGRAPH-2B82F;Lo;0;L;;;;;N;;;;;
178224;CJK UNIFIED IDEOGRAPH-2B830;Lo;0;L;;;;;N;;;;;
178225;CJK UNIFIED IDEOGRAPH-2B831;Lo;0;L;;;;;N;;;;;
178226;CJK UNIFIED IDEOGRAPH-2B832;Lo;0;L;;;;;N;;;;;
178227;CJK UNIFIED IDEOGRAPH-2B833;Lo;0;L;;;;;N;;;;;
178228;CJK UNIFIED IDEOGRAPH-2B834;Lo;0;L;;;;;N;;;;;
