code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
183984;CJK UNIFIED IDEOGRAPH-2CEB0;Lo;0;L;;;;;N;;;;;
183985;CJK UNIFIED IDEOGRAPH-2CEB1;Lo;0;L;;;;;N;;;;;
183986;CJK UNIFIED IDEOGRAPH-2CEB2;Lo;0;L;;;;;N;;;;;
183987;CJK UNIFIED IDEOGRAPH-2CEB3;Lo;0;L;;;;;N;;;;;
183988;CJK UNIFIED IDEOGRAPH-2CEB4;Lo;0;L;;;;;N;;;;;
183989;CJK UNIFIED IDEOGRAPH-2CEB5;Lo;0;L;;;;;N;;;;;
183990;CJK UNIFIED IDEOGRAPH-2CEB6;Lo;0;L;;;;;N;;;;;
183991;CJK UNIFIED IDEOGRAPH-2CEB7;Lo;0;L;;;;;N;;;;;
183992;CJK UNIFIED IDEOGRAPH-2CEB8;Lo;0;L;;;;;N;;;;;
183993;CJK UNIFIED IDEOGRAPH-2CEB9;Lo;0;L;;;;;N;;;;;
183994;CJK UNIFIED IDEOGRAPH-2CEBA;Lo;0;L;;;;;N;;;;;
183995;CJK UNIFIED IDEOGRAPH-2CEBB;Lo;0;L;;;;;N;;;;;
183996;CJK UNIFIED IDEOGRAPH-2CEBC;Lo;0;L;;;;;N;;;;;
183997;CJK UNIFIED IDEOGRAPH-2CEBD;Lo;0;L;;;;;N;;;;;
183998;CJK UNIFIED IDEOGRAPH-2CEBE;Lo;0;L;;;;;N;;;;;
183999;CJK UNIFIED IDEOGRAPH-2CEBF;Lo;0;L;;;;;N;;;;;
184000;CJK UNIFIED IDEOGRAPH-2CEC0;Lo;0;L;;;;;N;;;;;
184001;CJK UNIFIED IDEOGRAPH-2CEC1;Lo;0;L;;;;;N;;;;;
184002;CJK UNIFIED IDEOGRAPH-2CEC2;Lo;0;L;;;;;N;;;;;
184003;CJK UNIFIED IDEOGRAPH-2CEC3;Lo;0;L;;;;;N;;;;;
184004;CJK UNIFIED IDEOGRAPH-2CEC4;Lo;0;L;;;;;N;;;;;
184005;CJK UNIFIED IDEOGRAPH-2CEC5;Lo;0;L;;;;;N;;;;;
184006;CJK UNIFIED IDEOGRAPH-2CEC6;Lo;0;L;;;;;N;;;;;
184007;CJK UNIFIED IDEOGRAPH-2CEC7;Lo;0;L;;;;;N;;;;;
184008;CJK UNIFIED IDEOGRAPH-2CEC8;Lo;0;L;;;;;N;;;;;
184009;CJK UNIFIED IDEOGRAPH-2CEC9;Lo;0;L;;;;;N;;;;;
184010;CJK UNIFIED IDEOGRAPH-2CECA;Lo;0;L;;;;;N;;;;;
184011;CJK UNIFIED IDEOGRAPH-2CECB;Lo;0;L;;;;;N;;;;;
184012;CJK UNIFIED IDEOGRAPH-2CECC;Lo;0;L;;;;;N;;;;;
184013;CJK UNIFIED IDEOGRAPH-2CECD;Lo;0;L;;;;;N;;;;;
184014;CJK UNIFIED IDEOGRAPH-2CECE;Lo;0;L;;;;;N;;;;;
184015;CJK UNIFIED IDEOGRAPH-2CECF;Lo;0;L;;;;;N;;;;;
184016;CJK UNIFIED IDEOGRAPH-2CED0;Lo;0;L;;;;;N;;;;;
184017;CJK UNIFIED IDEOGRAPH-2CED1;Lo;0;L;;;;;N;;;;;
184018;CJK UNIFIED IDEOGRAPH-2CED2;Lo;0;L;;;;;N;;;;;
184019;CJK UNIFIED IDEOGRAPH-2CED3;Lo;0;L;;;;;N;;;;;
184020;CJK UNIFIED IDEOGRAPH-2CED4;Lo;0;L;;;;;N;;;;;
184021;CJK UNIFIED IDEOGRAPH-2CED5;Lo;0;L;;;;;N;;;;;
184022;CJK UNIFIED IDEOGRAPH-2CED6;Lo;0;L;;;;;N;;;;;
184023;CJK UNIFIED IDEOGRAPH-2CED7;Lo;0;L;;;;;N;;;;;
184024;CJK UNIFIED IDEOGRAPH-2CED8;Lo;0;L;;;;;N;;;;;
184025;CJK UNIFIED IDEOGRAPH-2CED9;Lo;0;L;;;;;N;;;;;
184026;CJK UNIFIED IDEOGRAPH-2CEDA;Lo;0;L;;;;;N;;;;;
184027;CJK UNIFIED IDEOGRAPH-2CEDB;Lo;0;L;;;;;N;;;;;
184028;CJK UNIFIED IDEOGRAPH-2CEDC;Lo;0;L;;;;;N;;;;;
184029;CJK UNIFIED IDEOGRAPH-2CEDD;Lo;0;L;;;;;N;;;;;
184030;CJK UNIFIED IDEOGRAPH-2CEDE;Lo;0;L;;;;;N;;;;;
184031;CJK UNIFIED IDEOGRAPH-2CEDF;Lo;0;L;;;;;N;;;;;
184032;CJK UNIFIED IDEOGRAPH-2CEE0;Lo;0;L;;;;;N;;;;;
184033;CJK UNIFIED IDEOGRAPH-2CEE1;Lo;0;L;;;;;N;;;;;
184034;CJK UNIFIED IDEOGRAPH-2CEE2;Lo;0;L;;;;;N;;;;;
184035;CJK UNIFIED IDEOGRAPH-2CEE3;Lo;0;L;;;;;N;;;;;
184036;CJK UNIFIED IDEOGRAPH-2CEE4;Lo;0;L;;;;;N;;;;;
184037;CJK UNIFIED IDEOGRAPH-2CEE5;Lo;0;L;;;;;N;;;;;
184038;CJK UNIFIED IDEOGRAPH-2CEE6;Lo;0;L;;;;;N;;;;;
184039;CJK UNIFIED IDEOGRAPH-2CEE7;Lo;0;L;;;;;N;;;;;
184040;CJK UNIFIED IDEOGRAPH-2CEE8;Lo;0;L;;;;;N;;;;;
184041;CJK UNIFIED IDEOGRAPH-2CEE9;Lo;0;L;;;;;N;;;;;
184042;CJK UNIFIED IDEOGRAPH-2CEEA;Lo;0;L;;;;;N;;;;;
184043;CJK UNIFIED IDEOGRAPH-2CEEB;Lo;0;L;;;;;N;;;;;
184044;CJK UNIFIED IDEOGRAPH-2CEEC;Lo;0;L;;;;;N;;;;;
184045;CJK UNIFIED IDEOGRAPH-2CEED;Lo;0;L;;;;;N;;;;;
184046;CJK UNIFIED IDEOGRAPH-2CEEE;Lo;0;L;;;;;N;;;;;
184047;CJK UNIFIED IDEOGRAPH-2CEEF;Lo;0;L;;;;;N;;;;;
184048;CJK UNIFIED IDEOGRAPH-2CEF0;Lo;0;L;;;;;N;;;;;
184049;CJK UNIFIED IDEOGRAPH-2CEF1;Lo;0;L;;;;;N;;;;;
184050;CJK UNIFIED IDEOGRAPH-2CEF2;Lo;0;L;;;;;N;;;;;
184051;CJK UNIFIED IDEOGRAPH-2CEF3;Lo;0;L;;;;;N;;;;;
184052;CJK UNIFIED IDEOGRAPH-2CEF4;Lo;0;L;;;;;N;;;;;
184053;CJK UNIFIED IDEOGRAPH-2CEF5;Lo;0;L;;;;;N;;;;;
184054;CJK UNIFIED IDEOGRAPH-2CEF6;Lo;0;L;;;;;N;;;;;
184055;CJK UNIFIED IDEOGRAPH-2CEF7;Lo;0;L;;;;;N;;;;;
184056;CJK UNIFIED IDEOGRAPH-2CEF8;Lo;0;L;;;;;N;;;;;
184057;CJK UNIFIED IDEOGRAPH-2CEF9;Lo;0;L;;;;;N;;;;;
184058;CJK UNIFIED IDEOGRAPH-2CEFA;Lo;0;L;;;;;N;;;;;
184059;CJK UNIFIED IDEOGRAPH-2CEFB;Lo;0;L;;;;;N;;;;;
184060;CJK UNIFIED IDEOGRAPH-2CEFC;Lo;0;L;;;;;N;;;;;
184061;CJK UNIFIED IDEOGRAPH-2CEFD;Lo;0;L;;;;;N;;;;;
184062;CJK UNIFIED IDEOGRAPH-2CEFE;Lo;0;L;;;;;N;;;;;
184063;CJK UNIFIED IDEOGRAPH-2CEFF;Lo;0;L;;;;;N;;;;;
184064;CJK UNIFIED IDEOGRAPH-2CF00;Lo;0;L;;;;;N;;;;;
184065;CJK UNIFIED IDEOGRAPH-2CF01;Lo;0;L;;;;;N;;;;;
184066;CJK UNIFIED IDEOGRAPH-2CF02;Lo;0;L;;;;;N;;;;;
184067;CJK UNIFIED IDEOGRAPH-2CF03;Lo;0;L;;;;;N;;;;;
184068;CJK UNIFIED IDEOGRAPH-2CF04;Lo;0;L;;;;;N;;;;;
184069;CJK UNIFIED IDEOGRAPH-2CF05;Lo;0;L;;;;;N;;;;;
184070;CJK UNIFIED IDEOGRAPH-2CF06;Lo;0;L;;;;;N;;;;;
184071;CJK UNIFIED IDEOGRAPH-2CF07;Lo;0;L;;;;;N;;;;;
184072;CJK UNIFIED IDEOGRAPH-2CF08;Lo;0;L;;;;;N;;;;;
184073;CJK UNIFIED IDEOGRAPH-2CF09;Lo;0;L;;;;;N;;;;;
184074;CJK UNIFIED IDEOGRAPH-2CF0A;Lo;0;L;;;;;N;;;;;
184075;CJK UNIFIED IDEOGRAPH-2CF0B;Lo;0;L;;;;;N;;;;;
184076;CJK UNIFIED IDEOGRAPH-2CF0C;Lo;0;L;;;;;N;;;;;
184077;CJK UNIFIED IDEOGRAPH-2CF0D;Lo;0;L;;;;;N;;;;;
184078;CJK UNIFIED IDEOGRAPH-2CF0E;Lo;0;L;;;;;N;;;;;
184079;CJK UNIFIED IDEOGRAPH-2CF0F;Lo;0;L;;;;;N;;;;;
184080;CJK UNIFIED IDEOGRAPH-2CF10;Lo;0;L;;;;;N;;;;;
184081;CJK UNIFIED IDEOGRAPH-2CF11;Lo;0;L;;;;;N;;;;;
184082;CJK UNIFIED IDEOGRAPH-2CF12;Lo;0;L;;;;;N;;;;;
184083;CJK UNIFIED IDEOGRAPH-2CF13;Lo;0;L;;;;;N;;;;;
184084;CJK UNIFIED IDEOGRAPH-2CF14;Lo;0;L;;;;;N;;;;;
184085;CJK UNIFIED IDEOGRAPH-2CF15;Lo;0;L;;;;;N;;;;;
184086;CJK UNIFIED IDEOGRAPH-2CF16;Lo;0;L;;;;;N;;;;;
184087;CJK UNIFIED IDEOGRAPH-2CF17;Lo;0;L;;;;;N;;;;;
184088;CJK UNIFIED IDEOGRAPH-2CF18;Lo;0;L;;;;;N;;;;;
184089;CJK UNIFIED IDEOGRAPH-2CF19;Lo;0;L;;;;;N;;;;;
184090;CJK UNIFIED IDEOGRAPH-2CF1A;Lo;0;L;;;;;N;;;;;
184091;CJK UNIFIED IDEOGRAPH-2CF1B;Lo;0;L;;;;;N;;;;;
184092;CJK UNIFIED IDEOGRAPH-2CF1C;Lo;0;L;;;;;N;;;;;
184093;CJK UNIFIED IDEOGRAPH-2CF1D;Lo;0;L;;;;;N;;;;;
184094;CJK UNIFIED IDEOGRAPH-2CF1E;Lo;0;L;;;;;N;;;;;
184095;CJK UNIFIED IDEOGRAPH-2CF1F;Lo;0;L;;;;;N;;;;;
184096;CJK UNIFIED IDEOGRAPH-2CF20;Lo;0;L;;;;;N;;;;;
184097;CJK UNIFIED IDEOGRAPH-2CF21;Lo;0;L;;;;;N;;;;;
184098;CJK UNIFIED IDEOGRAPH-2CF22;Lo;0;L;;;;;N;;;;;
184099;CJK UNIFIED IDEOGRAPH-2CF23;Lo;0;L;;;;;N;;;;;
184100;CJK UNIFIED IDEOGRAPH-2CF24;Lo;0;L;;;;;N;;;;;
184101;CJK UNIFIED IDEOGRAPH-2CF25;Lo;0;L;;;;;N;;;;;
184102;CJK UNIFIED IDEOGRAPH-2CF26;Lo;0;L;;;;;N;;;;;
184103;CJK UNIFIED IDEOGRAPH-2CF27;Lo;0;L;;;;;N;;;;;
184104;CJK UNIFIED IDEOGRAPH-2CF28;Lo;0;L;;;;;N;;;;;
184105;CJK UNIFIED IDEOGRAPH-2CF29;Lo;0;L;;;;;N;;;;;
184106;CJK UNIFIED IDEOGRAPH-2CF2A;Lo;0;L;;;;;N;;;;;
184107;CJK UNIFIED IDEOGRAPH-2CF2B;Lo;0;L;;;;;N;;;;;
184108;CJK UNIFIED IDEOGRAPH-2CF2C;Lo;0;L;;;;;N;;;;;
184109;CJK UNIFIED IDEOGRAPH-2CF2D;Lo;0;L;;;;;N;;;;;
184110;CJK UNIFIED IDEOGRAPH-2CF2E;Lo;0;L;;;;;N;;;;;
184111;CJK UNIFIED IDEOGRAPH-2CF2F;Lo;0;L;;;;;N;;;;;
184112;CJK UNIFIED IDEOGRAPH-2CF30;Lo;0;L;;;;;N;;;;;
184113;CJK UNIFIED IDEOGRAPH-2CF31;Lo;0;L;;;;;N;;;;;
184114;CJK UNIFIED IDEOGRAPH-2CF32;Lo;0;L;;;;;N;;;;;
184115;CJK UNIFIED IDEOGRAPH-2CF33;Lo;0;L;;;;;N;;;;;
184116;CJK UNIFIED IDEOGRAPH-2CF34;Lo;0;L;;;;;N;;;;;
184117;CJK UNIFIED IDEOGRAPH-2CF35;Lo;0;L;;;;;N;;;;;
184118;CJK UNIFIED IDEOGRAPH-2CF36;Lo;0;L;;;;;N;;;;;
184119;CJK UNIFIED IDEOGRAPH-2CF37;Lo;0;L;;;;;N;;;;;
184120;CJK UNIFIED IDEOGRAPH-2CF38;Lo;0;L;;;;;N;;;;;
184121;CJK UNIFIED IDEOGRAPH-2CF39;Lo;0;L;;;;;N;;;;;
184122;CJK UNIFIED IDEOGRAPH-2CF3A;Lo;0;L;;;;;N;;;;;
184123;CJK UNIFIED IDEOGRAPH-2CF3B;Lo;0;L;;;;;N;;;;;
184124;CJK UNIFIED IDEOGRAPH-2CF3C;Lo;0;L;;;;;N;;;;;
184125;CJK UNIFIED IDEOGRAPH-2CF3D;Lo;0;L;;;;;N;;;;;
184126;CJK UNIFIED IDEOGRAPH-2CF3E;Lo;0;L;;;;;N;;;;;
184127;CJK UNIFIED IDEOGRAPH-2CF3F;Lo;0;L;;;;;N;;;;;
184128;CJK UNIFIED IDEOGRAPH-2CF40;Lo;0;L;;;;;N;;;;;
184129;CJK UNIFIED IDEOGRAPH-2CF41;Lo;0;L;;;;;N;;;;;
184130;CJK UNIFIED IDEOGRAPH-2CF42;Lo;0;L;;;;;N;;;;;
