code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
201552;CJK UNIFIED IDEOGRAPH-31350;Lo;0;L;;;;;N;;;;;
201553;CJK UNIFIED IDEOGRAPH-31351;Lo;0;L;;;;;N;;;;;
201554;CJK UNIFIED IDEOGRAPH-31352;Lo;0;L;;;;;N;;;;;
201555;CJK UNIFIED IDEOGRAPH-31353;Lo;0;L;;;;;N;;;;;
201556;CJK UNIFIED IDEOGRAPH-31354;Lo;0;L;;;;;N;;;;;
201557;CJK UNIFIED IDEOGRAPH-31355;Lo;0;L;;;;;N;;;;;
201558;CJK UNIFIED IDEOGRAPH-31356;Lo;0;L;;;;;N;;;;;
201559;CJK UNIFIED IDEOGRAPH-31357;Lo;0;L;;;;;N;;;;;
201560;CJK UNIFIED IDEOGRAPH-31358;Lo;0;L;;;;;N;;;;;
201561;CJK UNIFIED IDEOGRAPH-31359;Lo;0;L;;;;;N;;;;;
201562;CJK UNIFIED IDEOGRAPH-3135A;Lo;0;L;;;;;N;;;;;
201563;CJK UNIFIED IDEOGRAPH-3135B;Lo;0;L;;;;;N;;;;;
201564;CJK UNIFIED IDEOGRAPH-3135C;Lo;0;L;;;;;N;;;;;
201565;CJK UNIFIED IDEOGRAPH-3135D;Lo;0;L;;;;;N;;;;;
201566;CJK UNIFIED IDEOGRAPH-3135E;Lo;0;L;;;;;N;;;;;
201567;CJK UNIFIED IDEOGRAPH-3135F;Lo;0;L;;;;;N;;;;;
201568;CJK UNIFIED IDEOGRAPH-31360;Lo;0;L;;;;;N;;;;;
201569;CJK UNIFIED IDEOGRAPH-31361;Lo;0;L;;;;;N;;;;;
201570;CJK UNIFIED IDEOGRAPH-31362;Lo;0;L;;;;;N;;;;;
201571;CJK UNIFIED IDEOGRAPH-31363;Lo;0;L;;;;;N;;;;;
201572;CJK UNIFIED IDEOGRAPH-31364;Lo;0;L;;;;;N;;;;;
201573;CJK UNIFIED IDEOGRAPH-31365;Lo;0;L;;;;;N;;;;;
201574;CJK UNIFIED IDEOGRAPH-31366;Lo;0;L;;;;;N;;;;;
