code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
191472;CJK UNIFIED IDEOGRAPH-2EBF0;Lo;0;L;;;;;N;;;;;
191473;CJK UNIFIED IDEOGRAPH-2EBF1;Lo;0;L;;;;;N;;;;;
191474;CJK UNIFIED IDEOGRAPH-2EBF2;Lo;0;L;;;;;N;;;;;
191475;CJK UNIFIED IDEOGRAPH-2EBF3;Lo;0;L;;;;;N;;;;;
191476;CJK UNIFIED IDEOGRAPH-2EBF4;Lo;0;L;;;;;N;;;;;
191477;CJK UNIFIED IDEOGRAPH-2EBF5;Lo;0;L;;;;;N;;;;;
191478;CJK UNIFIED IDEOGRAPH-2EBF6;Lo;0;L;;;;;N;;;;;
191479;CJK UNIFIED IDEOGRAPH-2EBF7;Lo;0;L;;;;;N;;;;;
191480;CJK UNIFIED IDEOGRAPH-2EBF8;Lo;0;L;;;;;N;;;;;
191481;CJK UNIFIED IDEOGRAPH-2EBF9;Lo;0;L;;;;;N;;;;;
191482;CJK UNIFIED IDEOGRAPH-2EBFA;Lo;0;L;;;;;N;;;;;
191483;CJK UNIFIED IDEOGRAPH-2EBFB;Lo;0;L;;;;;N;;;;;
191484;CJK UNIFIED IDEOGRAPH-2EBFC;Lo;0;L;;;;;N;;;;;
191485;CJK UNIFIED IDEOGRAPH-2EBFD;Lo;0;L;;;;;N;;;;;
191486;CJK UNIFIED IDEOGRAPH-2EBFE;Lo;0;L;;;;;N;;;;;
191487;CJK UNIFIED IDEOGRAPH-2EBFF;Lo;0;L;;;;;N;;;;;
191488;CJK UNIFIED IDEOGRAPH-2EC00;Lo;0;L;;;;;N;;;;;
191489;CJK UNIFIED IDEOGRAPH-2EC01;Lo;0;L;;;;;N;;;;;
191490;CJK UNIFIED IDEOGRAPH-2EC02;Lo;0;L;;;;;N;;;;;
191491;CJK UNIFIED IDEOGRAPH-2EC03;Lo;0;L;;;;;N;;;;;
191492;CJK UNIFIED IDEOGRAPH-2EC04;Lo;0;L;;;;;N;;;;;
191493;CJK UNIFIED IDEOGRAPH-2EC05;Lo;0;L;;;;;N;;;;;
191494;CJK UNIFIED IDEOGRAPH-2EC06;Lo;0;L;;;;;N;;;;;
191495;CJK UNIFIED IDEOGRAPH-2EC07;Lo;0;L;;;;;N;;;;;
191496;CJK UNIFIED IDEOGRAPH-2EC08;Lo;0;L;;;;;N;;;;;
191497;CJK UNIFIED IDEOGRAPH-2EC09;Lo;0;L;;;;;N;;;;;
191498;CJK UNIFIED IDEOGRAPH-2EC0A;Lo;0;L;;;;;N;;;;;
191499;CJK UNIFIED IDEOGRAPH-2EC0B;Lo;0;L;;;;;N;;;;;
191500;CJK UNIFIED IDEOGRAPH-2EC0C;Lo;0;L;;;;;N;;;;;
191501;CJK UNIFIED IDEOGRAPH-2EC0D;Lo;0;L;;;;;N;;;;;
191502;CJK UNIFIED IDEOGRAPH-2EC0E;Lo;0;L;;;;;N;;;;;
191503;CJK UNIFIED IDEOGRAPH-2EC0F;Lo;0;L;;;;;N;;;;;
191504;CJK UNIFIED IDEOGRAPH-2EC10;Lo;0;L;;;;;N;;;;;
191505;CJK UNIFIED IDEOGRAPH-2EC11;Lo;0;L;;;;;N;;;;;
191506;CJK UNIFIED IDEOGRAPH-2EC12;Lo;0;L;;;;;N;;;;;
191507;CJK UNIFIED IDEOGRAPH-2EC13;Lo;0;L;;;;;N;;;;;
191508;CJK UNIFIED IDEOGRAPH-2EC14;Lo;0;L;;;;;N;;;;;
191509;CJK UNIFIED IDEOGRAPH-2EC15;Lo;0;L;;;;;N;;;;;
191510;CJK UNIFIED IDEOGRAPH-2EC16;Lo;0;L;;;;;N;;;;;
191511;CJK UNIFIED IDEOGRAPH-2EC17;Lo;0;L;;;;;N;;;;;
191512;CJK UNIFIED IDEOGRAPH-2EC18;Lo;0;L;;;;;N;;;;;
191513;CJK UNIFIED IDEOGRAPH-2EC19;Lo;0;L;;;;;N;;;;;
191514;CJK UNIFIED IDEOGRAPH-2EC1A;Lo;0;L;;;;;N;;;;;
191515;CJK UNIFIED IDEOGRAPH-2EC1B;Lo;0;L;;;;;N;;;;;
191516;CJK UNIFIED IDEOGRAPH-2EC1C;Lo;0;L;;;;;N;;;;;
191517;CJK UNIFIED IDEOGRAPH-2EC1D;Lo;0;L;;;;;N;;;;;
191518;CJK UNIFIED IDEOGRAPH-2EC1E;Lo;0;L;;;;;N;;;;;
191519;CJK UNIFIED IDEOGRAPH-2EC1F;Lo;0;L;;;;;N;;;;;
191520;CJK UNIFIED IDEOGRAPH-2EC20;Lo;0;L;;;;;N;;;;;
191521;CJK UNIFIED IDEOGRAPH-2EC21;Lo;0;L;;;;;N;;;;;
191522;CJK UNIFIED IDEOGRAPH-2EC22;Lo;0;L;;;;;N;;;;;
191523;CJK UNIFIED IDEOGRAPH-2EC23;Lo;0;L;;;;;N;;;;;
191524;CJK UNIFIED IDEOGRAPH-2EC24;Lo;0;L;;;;;N;;;;;
191525;CJK UNIFIED IDEOGRAPH-2EC25;Lo;0;L;;;;;N;;;;;
191526;CJK UNIFIED IDEOGRAPH-2EC26;Lo;0;L;;;;;N;;;;;
191527;CJK UNIFIED IDEOGRAPH-2EC27;Lo;0;L;;;;;N;;;;;
191528;CJK UNIFIED IDEOGRAPH-2EC28;Lo;0;L;;;;;N;;;;;
191529;CJK UNIFIED IDEOGRAPH-2EC29;Lo;0;L;;;;;N;;;;;
191530;CJK UNIFIED IDEOGRAPH-2EC2A;Lo;0;L;;;;;N;;;;;
191531;CJK UNIFIED IDEOGRAPH-2EC2B;Lo;0;L;;;;;N;;;;;
191532;CJK UNIFIED IDEOGRAPH-2EC2C;Lo;0;L;;;;;N;;;;;
191533;CJK UNIFIED IDEOGRAPH-2EC2D;Lo;0;L;;;;;N;;;;;
191534;CJK UNIFIED IDEOGRAPH-2EC2E;Lo;0;L;;;;;N;;;;;
191535;CJK UNIFIED IDEOGRAPH-2EC2F;Lo;0;L;;;;;N;;;;;
191536;CJK UNIFIED IDEOGRAPH-2EC30;Lo;0;L;;;;;N;;;;;
191537;CJK UNIFIED IDEOGRAPH-2EC31;Lo;0;L;;;;;N;;;;;
191538;CJK UNIFIED IDEOGRAPH-2EC32;Lo;0;L;;;;;N;;;;;
191539;CJK UNIFIED IDEOGRAPH-2EC33;Lo;0;L;;;;;N;;;;;
191540;CJK UNIFIED IDEOGRAPH-2EC34;Lo;0;L;;;;;N;;;;;
191541;CJK UNIFIED IDEOGRAPH-2EC35;Lo;0;L;;;;;N;;;;;
191542;CJK UNIFIED IDEOGRAPH-2EC36;Lo;0;L;;;;;N;;;;;
191543;CJK UNIFIED IDEOGRAPH-2EC37;Lo;0;L;;;;;N;;;;;
191544;CJK UNIFIED IDEOGRAPH-2EC38;Lo;0;L;;;;;N;;;;;
191545;CJK UNIFIED IDEOGRAPH-2EC39;Lo;0;L;;;;;N;;;;;
191546;CJK UNIFIED IDEOGRAPH-2EC3A;Lo;0;L;;;;;N;;;;;
191547;CJK UNIFIED IDEOGRAPH-2EC3B;Lo;0;L;;;;;N;;;;;
191548;CJK UNIFIED IDEOGRAPH-2EC3C;Lo;0;L;;;;;N;;;;;
191549;CJK UNIFIED IDEOGRAPH-2EC3D;Lo;0;L;;;;;N;;;;;
191550;CJK UNIFIED IDEOGRAPH-2EC3E;Lo;0;L;;;;;N;;;;;
191551;CJK UNIFIED IDEOGRAPH-2EC3F;Lo;0;L;;;;;N;;;;;
191552;CJK UNIFIED IDEOGRAPH-2EC40;Lo;0;L;;;;;N;;;;;
191553;CJK UNIFIED IDEOGRAPH-2EC41;Lo;0;L;;;;;N;;;;;
191554;CJK UNIFIED IDEOGRAPH-2EC42;Lo;0;L;;;;;N;;;;;
191555;CJK UNIFIED IDEOGRAPH-2EC43;Lo;0;L;;;;;N;;;;;
191556;CJK UNIFIED IDEOGRAPH-2EC44;Lo;0;L;;;;;N;;;;;
191557;CJK UNIFIED IDEOGRAPH-2EC45;Lo;0;L;;;;;N;;;;;
191558;CJK UNIFIED IDEOGRAPH-2EC46;Lo;0;L;;;;;N;;;;;
191559;CJK UNIFIED IDEOGRAPH-2EC47;Lo;0;L;;;;;N;;;;;
191560;CJK UNIFIED IDEOGRAPH-2EC48;Lo;0;L;;;;;N;;;;;
191561;CJK UNIFIED IDEOGRAPH-2EC49;Lo;0;L;;;;;N;;;;;
191562;CJK UNIFIED IDEOGRAPH-2EC4A;Lo;0;L;;;;;N;;;;;
191563;CJK UNIFIED IDEOGRAPH-2EC4B;Lo;0;L;;;;;N;;;;;
191564;CJK UNIFIED IDEOGRAPH-2EC4C;Lo;0;L;;;;;N;;;;;
191565;CJK UNIFIED IDEOGRAPH-2EC4D;Lo;0;L;;;;;N;;;;;
191566;CJK UNIFIED IDEOGRAPH-2EC4E;Lo;0;L;;;;;N;;;;;
191567;CJK UNIFIED IDEOGRAPH-2EC4F;Lo;0;L;;;;;N;;;;;
191568;CJK UNIFIED IDEOGRAPH-2EC50;Lo;0;L;;;;;N;;;;;
191569;CJK UNIFIED IDEOGRAPH-2EC51;Lo;0;L;;;;;N;;;;;
191570;CJK UNIFIED IDEOGRAPH-2EC52;Lo;0;L;;;;;N;;;;;
191571;CJK UNIFIED IDEOGRAPH-2EC53;Lo;0;L;;;;;N;;;;;
191572;CJK UNIFIED IDEOGRAPH-2EC54;Lo;0;L;;;;;N;;;;;
191573;CJK UNIFIED IDEOGRAPH-2EC55;Lo;0;L;;;;;N;;;;;
191574;CJK UNIFIED IDEOGRAPH-2EC56;Lo;0;L;;;;;N;;;;;
191575;CJK UNIFIED IDEOGRAPH-2EC57;Lo;0;L;;;;;N;;;;;
191576;CJK UNIFIED IDEOGRAPH-2EC58;Lo;0;L;;;;;N;;;;;
191577;CJK UNIFIED IDEOGRAPH-2EC59;Lo;0;L;;;;;N;;;;;
191578;CJK UNIFIED IDEOGRAPH-2EC5A;Lo;0;L;;;;;N;;;;;
191579;CJK UNIFIED IDEOGRAPH-2EC5B;Lo;0;L;;;;;N;;;;;
191580;CJK UNIFIED IDEOGRAPH-2EC5C;Lo;0;L;;;;;N;;;;;
191581;CJK UNIFIED IDEOGRAPH-2EC5D;Lo;0;L;;;;;N;;;;;
191582;CJK UNIFIED IDEOGRAPH-2EC5E;Lo;0;L;;;;;N;;;;;
191583;CJK UNIFIED IDEOGRAPH-2EC5F;Lo;0;L;;;;;N;;;;;
191584;CJK UNIFIED IDEOGRAPH-2EC60;Lo;0;L;;;;;N;;;;;
191585;CJK UNIFIED IDEOGRAPH-2EC61;Lo;0;L;;;;;N;;;;;
191586;CJK UNIFIED IDEOGRAPH-2EC62;Lo;0;L;;;;;N;;;;;
191587;CJK UNIFIED IDEOGRAPH-2EC63;Lo;0;L;;;;;N;;;;;
191588;CJK UNIFIED IDEOGRAPH-2EC64;Lo;0;L;;;;;N;;;;;
191589;CJK UNIFIED IDEOGRAPH-2EC65;Lo;0;L;;;;;N;;;;;
191590;CJK UNIFIED IDEOGRAPH-2EC66;Lo;0;L;;;;;N;;;;;
